# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
MIR807	EMSPUG00000002871	EMSPUT00000002871	miRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MIR807	EMSPUG00000003049	EMSPUT00000003049	miRNA	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000003060	EMSPUT00000003060	miRNA	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000003609	EMSPUT00000003609	miRNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
MIR807	EMSPUG00000003771	EMSPUT00000003771	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR807	EMSPUG00000003908	EMSPUT00000003908	miRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000004133	EMSPUT00000004133	miRNA	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
MIR807	EMSPUG00000004294	EMSPUT00000004294	miRNA	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000004445	EMSPUT00000004445	miRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
MIR807	EMSPUG00000004448	EMSPUT00000004448	miRNA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MIR807	EMSPUG00000004739	EMSPUT00000004739	miRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000004754	EMSPUT00000004754	miRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000004763	EMSPUT00000004763	miRNA	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000004814	EMSPUT00000004814	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000004981	EMSPUT00000004981	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000005315	EMSPUT00000005315	miRNA	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000005716	EMSPUT00000005716	miRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000005835	EMSPUT00000005835	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000005888	EMSPUT00000005888	miRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000006052	EMSPUT00000006052	miRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MIR807	EMSPUG00000006128	EMSPUT00000006128	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000006328	EMSPUT00000006328	miRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
MIR807	EMSPUG00000006379	EMSPUT00000006379	miRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000006488	EMSPUT00000006488	miRNA	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000006701	EMSPUT00000006701	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000006818	EMSPUT00000006818	miRNA	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000006971	EMSPUT00000006971	miRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MIR807	EMSPUG00000006983	EMSPUT00000006983	miRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000007126	EMSPUT00000007126	miRNA	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000007567	EMSPUT00000007567	miRNA	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000007626	EMSPUT00000007626	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR807	EMSPUG00000007636	EMSPUT00000007636	miRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MIR807	EMSPUG00000007783	EMSPUT00000007783	miRNA	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000008110	EMSPUT00000008110	miRNA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MIR807	EMSPUG00000008463	EMSPUT00000008463	miRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MIR807	EMSPUG00000008755	EMSPUT00000008755	miRNA	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000009146	EMSPUT00000009146	miRNA	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000009180	EMSPUT00000009180	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR807	EMSPUG00000009388	EMSPUT00000009388	miRNA	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000009662	EMSPUT00000009662	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000009710	EMSPUT00000009710	miRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
MIR807	EMSPUG00000009959	EMSPUT00000009959	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000010013	EMSPUT00000010013	miRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MIR807	EMSPUG00000010101	EMSPUT00000010101	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR807	EMSPUG00000010220	EMSPUT00000010220	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000010304	EMSPUT00000010304	miRNA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MIR807	EMSPUG00000010325	EMSPUT00000010325	miRNA	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000010581	EMSPUT00000010581	miRNA	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000010588	EMSPUT00000010588	miRNA	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000010620	EMSPUT00000010620	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000010843	EMSPUT00000010843	miRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MIR807	EMSPUG00000011119	EMSPUT00000011119	miRNA	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MIR807	EMSPUG00000011355	EMSPUT00000011355	miRNA	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000011457	EMSPUT00000011457	miRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MIR807	EMSPUG00000011493	EMSPUT00000011493	miRNA	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000011527	EMSPUT00000011527	miRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000011827	EMSPUT00000011827	miRNA	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000011922	EMSPUT00000011922	miRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MIR807	EMSPUG00000012015	EMSPUT00000012015	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000012120	EMSPUT00000012120	miRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MIR807	EMSPUG00000012191	EMSPUT00000012191	miRNA	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000012572	EMSPUT00000012572	miRNA	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
MIR807	EMSPUG00000012630	EMSPUT00000012630	miRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MIR807	EMSPUG00000012806	EMSPUT00000012806	miRNA	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MIR807	EMSPUG00000012876	EMSPUT00000012876	miRNA	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000012918	EMSPUT00000012918	miRNA	0	0	0	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7
MIR807	EMSPUG00000013662	EMSPUT00000013662	miRNA	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000013798	EMSPUT00000013798	miRNA	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
MIR807	EMSPUG00000013867	EMSPUT00000013867	miRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000013907	EMSPUT00000013907	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000013925	EMSPUT00000013925	miRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MIR807	EMSPUG00000013931	EMSPUT00000013931	miRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MIR807	EMSPUG00000013957	EMSPUT00000013957	miRNA	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MIR807	EMSPUG00000014155	EMSPUT00000014155	miRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000014368	EMSPUT00000014368	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR807	EMSPUG00000014379	EMSPUT00000014379	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR807	EMSPUG00000014493	EMSPUT00000014493	miRNA	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000014604	EMSPUT00000014604	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR807	EMSPUG00000014668	EMSPUT00000014668	miRNA	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
MIR807	EMSPUG00000014752	EMSPUT00000014752	miRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000014836	EMSPUT00000014836	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000014992	EMSPUT00000014992	miRNA	0	0	0	22	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000015006	EMSPUT00000015006	miRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MIR807	EMSPUG00000015011	EMSPUT00000015011	miRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MIR807	EMSPUG00000015051	EMSPUT00000015051	miRNA	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000015179	EMSPUT00000015179	miRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
MIR807	EMSPUG00000015232	EMSPUT00000015232	miRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MIR807	EMSPUG00000015309	EMSPUT00000015309	miRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR807	EMSPUG00000015469	EMSPUT00000015469	miRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MIR807	EMSPUG00000015789	EMSPUT00000015789	miRNA	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
MTB1	SPU_017134	SPU_017134-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MVP	SPU_000881	SPU_000881-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MicF	EMSPUG00000003178	EMSPUT00000003178	antisense	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
NBC	SPU_014036	SPU_014036-tr	protein_coding	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
NBC	SPU_017882	SPU_017882-tr	protein_coding	0	12	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0
OTX	SPU_010424	SPU_010424.a-tr	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
OTX	SPU_010424	SPU_010424.b-tr	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
OTX	SPU_010424	SPU_010424.c-tr	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
OTX	SPU_010424	SPU_010424.d-tr	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
PDE5	SPU_017533	SPU_017533-tr	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PKD2	SPU_010579	SPU_010579-tr	protein_coding	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
PLCDSU	SPU_004230	SPU_004230-tr	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
PLCDSU	SPU_030068	SPU_030068-tr	protein_coding	2	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
PMCA	SPU_021303	SPU_021303-tr	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
REJ	SPU_023767	SPU_023767-tr	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
REJ2	SPU_020620	SPU_020620-tr	protein_coding	0	0	5	4	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0
REJ2	SPU_023989	SPU_023989-tr	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
REJ4	SPU_015929	SPU_015929-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNaseP_nuc	EMSPUG00000014302	EMSPUT00000014302		0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
RNase_MRP	EMSPUG00000006215	EMSPUT00000006215		0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAP-25	SPU_006859	SPU_006859-tr	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
SNORA73	EMSPUG00000000180	EMSPUT00000000180	snoRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA73	EMSPUG00000000854	EMSPUT00000000854	snoRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA73	EMSPUG00000002462	EMSPUT00000002462	snoRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA73	EMSPUG00000004715	EMSPUT00000004715	snoRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA73	EMSPUG00000006808	EMSPUT00000006808	snoRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA73	EMSPUG00000015780	EMSPUT00000015780	snoRNA	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD10	EMSPUG00000004982	EMSPUT00000004982	snoRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD15	EMSPUG00000008876	EMSPUT00000008876	snoRNA	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD15	EMSPUG00000010484	EMSPUT00000010484	snoRNA	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD18	EMSPUG00000001237	EMSPUT00000001237	snoRNA	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD33	EMSPUG00000006302	EMSPUT00000006302	snoRNA	0	0	0	14	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD33	EMSPUG00000012803	EMSPUT00000012803	snoRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
SNORD36	EMSPUG00000001115	EMSPUT00000001115	snoRNA	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD45	EMSPUG00000002343	EMSPUT00000002343	snoRNA	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD45	EMSPUG00000008879	EMSPUT00000008879	snoRNA	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD57	EMSPUG00000001413	EMSPUT00000001413	snoRNA	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD57	EMSPUG00000008372	EMSPUT00000008372	snoRNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
SNORD61	EMSPUG00000002749	EMSPUT00000002749	snoRNA	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD70	EMSPUG00000001325	EMSPUT00000001325	snoRNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
SNORD70	EMSPUG00000009622	EMSPUT00000009622	snoRNA	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD70	EMSPUG00000010277	EMSPUT00000010277	snoRNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
SP-064_1	SPU_012439	SPU_012439-tr	protein_coding	0	2	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0
SP-064_2	SPU_018503	SPU_018503-tr	protein_coding	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-064_3	SPU_017239	SPU_017239-tr	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-122B	SPU_026555	SPU_026555-tr	protein_coding	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
SP-122B_1	SPU_021790	SPU_021790-tr	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
SP-122C	SPU_002165	SPU_002165-tr	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
SP-122E	SPU_004069	SPU_004069-tr	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
SP-14-3-3_2	SPU_022537	SPU_022537-tr	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-185/333E2	SPU_022178	SPU_022178-tr	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
SP-185/333EX	SPU_011836	SPU_011836-tr	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
SP-2310067G05RIKH	SPU_009107	SPU_009107-tr	protein_coding	0	0	0	6	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0
SP-2OGFEII	SPU_005986	SPU_005986-tr	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
SP-2PDE	SPU_014824	SPU_014824-tr	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
SP-2PDE_1	SPU_015301	SPU_015301-tr	protein_coding	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0
SP-3BP1	SPU_015215	SPU_015215-tr	protein_coding	0	0	3	7	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0
SP-4CL_1	SPU_009289	SPU_009289-tr	protein_coding	0	10	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	9	0
SP-6AFCOL	SPU_009076	SPU_009076-tr	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP-76P	SPU_000723	SPU_000723-tr	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
SP-77KDAMAP	SPU_006911	SPU_006911-tr	protein_coding	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10
SP-A-TR	SPU_026783	SPU_026783-tr	protein_coding	5	4	14	9	0	9	0	1	14	0	0	0	2	0	4	1	0	3	0
SP-A2BP1	SPU_026076	SPU_026076-tr	protein_coding	0	1	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8
SP-A2COL	SPU_026009	SPU_026009-tr	protein_coding	0	29	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	29	1
SP-A2M	SPU_011257	SPU_011257-tr	protein_coding	0	4	3	1	0	1	0	0	3	0	0	0	0	0	0	0	0	4	0
SP-A2MGL	SPU_013654	SPU_013654-tr	protein_coding	0	2	3	1	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0
SP-A2M_1	SPU_025922	SPU_025922-tr	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
SP-AAAS	SPU_025754	SPU_025754-tr	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
SP-AADAC	SPU_028758	SPU_028758-tr	protein_coding	0	4	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0
SP-AADACL_1	SPU_006075	SPU_006075-tr	protein_coding	0	2	2	26	0	0	0	26	2	0	0	0	0	0	0	0	0	2	0
SP-AADACL_2	SPU_007746	SPU_007746-tr	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-AADACL_3	SPU_011089	SPU_011089-tr	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
SP-AADACL_4	SPU_011090	SPU_011090-tr	protein_coding	0	2	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0
SP-AADAC_1	SPU_014449	SPU_014449-tr	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
